Datetime,district_cooling-cooling,district_heating,district_heating-water_systems,electricity-cooling,electricity-exterior_lighting,electricity-fans,electricity-heat_recovery,electricity-heat_rejection,electricity-heating,electricity-interior_equipment,electricity-interior_lighting,electricity-pumps,electricity-refrigeration,electricity-water_systems,natural_gas-heating,natural_gas-interior_equipment,natural_gas-water_systems,district_cooling-total_energy_consumption,district_heating-total_energy_consumption,electricity-total_energy_consumption,natural_gas-total_energy_consumption,other_fuel-heating,other_fuel-water_systems,other_fuel-total,site_energy-total,TMP_F
2018-01-01 20:00:00+00:00,780.2217663,21440.44616,2108.910533,14531.78846,0.0,256176.5941,5472.853038,25.34470581,417421.7371,359436.741,278759.0484,6895.993627,6350.80165,103454.3626,1181433.738,198912.1796,97477.05392,780.2217663,23549.35669,1448525.265,1477822.971,191559.8825,11071.42957,202631.3121,3153309.148,19.0
2018-01-01 21:00:00+00:00,767.190722,20992.60828,2060.728152,13363.92464,0.0,244929.5536,5228.974957,23.30141541,417499.2364,348160.2964,257814.9439,6854.591984,6353.946078,98180.36015,1158268.684,257961.0606,95412.80911,767.190722,23053.33643,1398409.129,1511642.554,193394.0047,10724.0208,204118.0255,3137990.257,18.0
2018-01-01 22:00:00+00:00,758.2425924,20619.59386,1956.430261,12563.5718,91900.41644,230592.3586,4729.622605,23.33251296,427711.2626,336392.4491,237814.6629,6751.883018,6372.4453,88678.38096,1145106.943,305500.4962,92822.87853,758.2425924,22576.02412,1443530.386,1543430.317,189875.6814,10177.57297,200053.2544,3210348.245,16.0
2018-01-01 23:00:00+00:00,725.3595009,21042.49753,2045.745194,11535.47186,94455.6775,215639.6495,4452.48094,20.62224927,436851.1161,330162.7765,220224.8374,6602.420731,6382.267024,86581.18006,1136115.546,300496.3825,90407.69433,725.3595009,23088.24273,1412908.5,1527019.623,187861.157,10083.95495,197945.1119,3161686.857,12.9
2018-01-02 00:00:00+00:00,716.2148244,21035.71226,2023.872626,10571.3683,94455.6775,201888.4442,4129.772095,17.44376145,433891.8382,308379.7641,206204.4143,6358.82442,6382.349508,81958.45864,1067983.051,256809.0408,83365.11203,716.2148244,23059.58489,1354238.355,1408157.203,179751.8537,9500.533082,189252.3868,2975423.765,10.9
2018-01-02 01:00:00+00:00,662.3694981,20736.88387,1982.182935,10254.96563,94455.6775,180033.8393,3819.887476,17.80855063,406215.9257,294925.8388,194728.0836,6308.514144,6377.221219,72013.37792,959505.019,210460.7926,75198.75897,662.3694981,22719.0668,1269151.14,1245164.571,168305.8472,8859.636744,177165.4839,2714862.649,10.0
2018-01-02 02:00:00+00:00,641.4230459,19708.20847,1726.825168,10243.28277,94455.6775,170754.3328,3574.427753,18.31738627,401081.4481,280332.4459,180410.1885,5960.710718,6372.989196,53331.24786,910461.23,186223.9449,58710.59781,641.4230459,21435.03364,1206535.068,1155395.773,163164.1531,7258.085718,170422.2389,2554429.554,10.9
2018-01-02 03:00:00+00:00,633.2822752,14672.41363,1562.849251,9871.847304,94455.6775,153242.2397,2737.348184,17.85018433,328882.63,266594.7508,145940.1286,5707.954739,6336.093554,42765.71885,791185.0875,138910.1922,45772.45016,633.2822752,16235.26288,1056552.239,975867.7299,136914.0019,6132.014814,143046.0167,2192334.547,14.0
2018-01-02 04:00:00+00:00,659.6233845,13519.12907,1107.844306,9849.867534,94455.6775,148610.3858,2828.509656,17.75290618,338332.2263,256600.9985,104695.0547,5802.169033,5721.60011,32036.89191,775486.4014,87359.72178,33017.78409,659.6233845,14626.97338,998951.1339,895863.9073,135943.7038,4216.136566,140159.8404,2050261.493,14.0
2018-01-02 05:00:00+00:00,627.9992961,14059.13593,838.260381,9802.518395,94455.6775,147539.7234,2841.852697,17.80336001,352079.367,249037.9052,82472.82518,5824.016711,5703.900705,23374.11105,782139.5329,44738.99134,24152.50979,627.9992961,14897.39631,973149.7013,851031.0341,140905.0084,3119.792657,144024.801,1983730.946,12.9
